MsgID.LOCAL_VELOCITY,8.5710000,0.0000181,0.0000063,0.0000145
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924808,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,8.8210000,0.0469161,0.2867873,-0.0824994
MsgID.LOCAL_VELOCITY,8.8210000,0.0000037,-0.0000012,0.0000144
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924800,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,9.0710000,-0.0414876,0.1645715,-0.0824993
MsgID.LOCAL_VELOCITY,9.0710000,-0.0000032,0.0000146,0.0000129
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924799,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,9.3240000,-0.0524996,0.3094656,-0.0825060
MsgID.LOCAL_VELOCITY,9.3240000,0.0000207,-0.0000015,0.0000141
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924796,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,9.5740000,-0.0932237,0.3978035,-0.0825442
MsgID.LOCAL_VELOCITY,9.5740000,-0.0000070,-0.0000025,0.0000120
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924788,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,9.8240000,-0.1826647,0.1537287,-0.0826271
MsgID.LOCAL_VELOCITY,9.8240000,-0.0000163,0.0000057,0.0000031
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974518,37.7924806,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.0750000,0.0196472,0.1317532,-0.0827384
MsgID.LOCAL_VELOCITY,10.0750000,-0.0000246,-0.0000302,0.0000116
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924806,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.3290000,0.0162795,0.3071678,-0.0828171
MsgID.LOCAL_VELOCITY,10.3290000,0.0000020,-0.0000126,0.0000181
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924801,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.5800000,-0.0353607,0.3250842,-0.0828212
MsgID.LOCAL_VELOCITY,10.5800000,-0.0000004,0.0000137,0.0000075
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924811,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.8300000,0.0761291,0.2934648,-0.0827459
MsgID.LOCAL_VELOCITY,10.8300000,-0.0000112,-0.0000150,0.0000106
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924798,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.0800000,-0.0732562,0.2934713,-0.0826357
MsgID.LOCAL_VELOCITY,11.0800000,0.0000072,-0.0000143,0.0000181
MsgID.GLOBAL_POSITION,0.0000000,-122.3974491,37.7924791,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.3320000,-0.1546743,0.3755801,-0.0825427
MsgID.LOCAL_VELOCITY,11.3320000,0.0000127,-0.0000023,0.0000144
MsgID.GLOBAL_POSITION,0.0000000,-122.3974490,37.7924783,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.5820000,-0.2380394,0.3724087,-0.0827167
MsgID.LOCAL_VELOCITY,11.5820000,0.0000038,0.0000250,0.0000613
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924794,0.0840000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.8320000,-0.1037721,0.1648682,-0.0845147
MsgID.LOCAL_VELOCITY,11.8320000,-0.0000059,-0.0000144,0.0000142
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924803,0.0880000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.0820000,-0.0155065,0.2946930,-0.0889846
MsgID.LOCAL_VELOCITY,12.0820000,0.0000090,0.0000192,0.0000384
MsgID.GLOBAL_POSITION,0.0000000,-122.3974511,37.7924800,0.0960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.3390000,-0.0521888,0.1833790,-0.0974603
MsgID.LOCAL_VELOCITY,12.3390000,0.0000114,-0.0000450,0.0000155
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924799,0.1070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.5890000,-0.0521146,0.2531744,-0.1075342
MsgID.LOCAL_VELOCITY,12.5890000,0.0000011,-0.0000038,0.0000141
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924807,0.1170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.8400000,0.0409618,0.3058254,-0.1184425
MsgID.LOCAL_VELOCITY,12.8400000,0.0000001,-0.0000338,0.0000139
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924812,0.1260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,13.0920000,0.0758106,0.2403131,-0.1272024
MsgID.LOCAL_VELOCITY,13.0920000,-0.0000049,0.0000006,0.0000158
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924796,0.1320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,13.3420000,-0.1086818,0.3720059,-0.1322979
MsgID.LOCAL_VELOCITY,13.3420000,-0.0000052,-0.0000194,0.0000199
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924795,0.1330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,13.5940000,-0.1018737,0.4260975,-0.1329599
MsgID.LOCAL_VELOCITY,13.5940000,0.0000185,-0.0000161,0.0000219
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924802,0.1290000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,13.8440000,-0.0252142,0.2969484,-0.1288854
MsgID.LOCAL_VELOCITY,13.8440000,-0.0000295,-0.0000080,0.0000161
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924801,0.1210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,14.0950000,-0.0335535,0.2934617,-0.1210816
MsgID.LOCAL_VELOCITY,14.0950000,0.0000234,-0.0000150,0.0000179
MsgID.GLOBAL_POSITION,0.0000000,-122.3974507,37.7924812,0.1120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,14.3450000,0.0920071,0.2192413,-0.1116257
MsgID.LOCAL_VELOCITY,14.3450000,-0.0000051,-0.0000257,0.0000149
